formula,metric_name,metric_value
tarantula,density,0.18152573529411764
tarantula,uniqueness,0.125
tarantula,coverage,0.029411764705882353
ochiai,density,0.18152573529411764
ochiai,uniqueness,0.125
ochiai,coverage,0.029411764705882353
opt,density,0.18152573529411764
opt,uniqueness,0.125
opt,coverage,0.029411764705882353
barinel,density,0.18152573529411764
barinel,uniqueness,0.125
barinel,coverage,0.029411764705882353
dstar,density,0.18152573529411764
dstar,uniqueness,0.125
dstar,coverage,0.029411764705882353
