formula,metric_name,metric_value
tarantula,density,0.05639555330684562
tarantula,uniqueness,0.03060337332637802
tarantula,coverage,0.006259780907668232
ochiai,density,0.05639555330684562
ochiai,uniqueness,0.03060337332637802
ochiai,coverage,0.006259780907668232
opt,density,0.05639555330684562
opt,uniqueness,0.03060337332637802
opt,coverage,0.006259780907668232
barinel,density,0.05639555330684562
barinel,uniqueness,0.03060337332637802
barinel,coverage,0.006259780907668232
dstar,density,0.05639555330684562
dstar,uniqueness,0.03060337332637802
dstar,coverage,0.006259780907668232
