formula,metric_name,metric_value
tarantula,density,0.07360625563612556
tarantula,uniqueness,0.08875739644970414
tarantula,coverage,0.0073964497041420114
ochiai,density,0.07360625563612556
ochiai,uniqueness,0.08875739644970414
ochiai,coverage,0.0073964497041420114
opt,density,0.07360625563612556
opt,uniqueness,0.08875739644970414
opt,coverage,0.0073964497041420114
barinel,density,0.07360625563612556
barinel,uniqueness,0.08875739644970414
barinel,coverage,0.0073964497041420114
dstar,density,0.07360625563612556
dstar,uniqueness,0.08875739644970414
dstar,coverage,0.0073964497041420114
