formula,metric_name,metric_value
tarantula,density,0.04704393072943116
tarantula,uniqueness,0.029063339124940767
tarantula,coverage,0.006634023061127784
ochiai,density,0.04704393072943116
ochiai,uniqueness,0.029063339124940767
ochiai,coverage,0.006634023061127784
opt,density,0.04704393072943116
opt,uniqueness,0.029063339124940767
opt,coverage,0.006634023061127784
barinel,density,0.04704393072943116
barinel,uniqueness,0.029063339124940767
barinel,coverage,0.006634023061127784
dstar,density,0.04704393072943116
dstar,uniqueness,0.029063339124940767
dstar,coverage,0.006634023061127784
