formula,metric_name,metric_value
tarantula,density,0.15533535641338544
tarantula,uniqueness,0.24791713578022967
tarantula,coverage,0.014748930421076334
ochiai,density,0.15533535641338544
ochiai,uniqueness,0.24791713578022967
ochiai,coverage,0.014748930421076334
opt,density,0.15533535641338544
opt,uniqueness,0.24791713578022967
opt,coverage,0.014748930421076334
barinel,density,0.15533535641338544
barinel,uniqueness,0.24791713578022967
barinel,coverage,0.014748930421076334
dstar,density,0.15533535641338544
dstar,uniqueness,0.24791713578022967
dstar,coverage,0.014748930421076334
